O/F,LOX/LH2,LOX/GH2,LOX/RP-1,LOX/CH4,LOX/C2H6,LOX/ETHANOL,LOX/MMH,LOX/UDMH,LOX/N2H4,LOX/NH3,LOX/JP10,GOX/LH2,GOX/GH2,GOX/RP-1,GOX/CH4,GOX/C2H6,GOX/ETHANOL,GOX/MMH,GOX/UDMH,GOX/N2H4,GOX/NH3,GOX/JP10,N2O/LH2,N2O/GH2,N2O/RP-1,N2O/CH4,N2O/C2H6,N2O/ETHANOL,N2O/MMH,N2O/UDMH,N2O/N2H4,N2O/NH3,N2O/JP10,N2O4/LH2,N2O4/GH2,N2O4/RP-1,N2O4/CH4,N2O4/C2H6,N2O4/ETHANOL,N2O4/MMH,N2O4/UDMH,N2O4/N2H4,N2O4/NH3,N2O4/JP10,H2O2/LH2,H2O2/GH2,H2O2/RP-1,H2O2/CH4,H2O2/C2H6,H2O2/ETHANOL,H2O2/MMH,H2O2/UDMH,H2O2/N2H4,H2O2/NH3,H2O2/JP10,F2/LH2,F2/GH2,F2/RP-1,F2/CH4,F2/C2H6,F2/ETHANOL,F2/MMH,F2/UDMH,F2/N2H4,F2/NH3,F2/JP10,OF2/LH2,OF2/GH2,OF2/RP-1,OF2/CH4,OF2/C2H6,OF2/ETHANOL,OF2/MMH,OF2/UDMH,OF2/N2H4,OF2/NH3,OF2/JP10,IRFNA/LH2,IRFNA/GH2,IRFNA/RP-1,IRFNA/CH4,IRFNA/C2H6,IRFNA/ETHANOL,IRFNA/MMH,IRFNA/UDMH,IRFNA/N2H4,IRFNA/NH3,IRFNA/JP10
0.05,,,,,139.50749068568757,,,216.11088621644603,221.59375043679722,,150.11616055469784,,,,,140.32349033445973,,,216.49850708030675,222.26208965866934,,150.60837272688005,,,,,126.29084530984743,,,,209.9938496777677,,143.0279798212907,,,,,131.51345552608913,,,,214.54640803599054,,145.6809957360715,,,,,129.33867448104942,,,,212.2648161414727,,144.96021963684717,,,,,141.2291676219216,,,219.0694391946302,221.10011513194954,,151.82697335370176,,,,,,,,218.685980154406,222.165772525848,,152.0021566175669,,,,,128.20060180596414,,,,212.02432428282555,,144.0202932209785
0.0806949806949807,,,156.6606875947714,,,,,219.62542496415102,232.79379820462134,,157.7013038097602,,,157.42582037715465,,,,,220.20818196632518,233.82694918354292,,158.42959434075289,,,,,134.37994215521664,,,,214.5210338707207,,147.2551337083816,,,,,,,,215.17376176900598,221.81149890342067,,151.19426034339057,,,,,138.60359880324563,,,,218.12327423920172,,150.1177896718805,,,159.1285192515407,,,,234.62513346592493,224.8132902234333,232.0466601581427,,160.6086625110106,,,159.46094884849964,,,,,223.96645300437797,233.68538489221947,,160.75051404329488,,,,,136.9856226777477,,,,217.79246835997202,,148.71732327193575
0.11138996138996139,,,163.80164930477162,123.64028037002146,,,,222.69014401709788,243.06288055287243,,164.37087367727017,,,164.75678578677227,126.02396307750769,,,,223.4495111454428,244.38923211303936,,165.28983995391675,,,,,,,,214.02719400812072,218.93421979512436,,151.14043092657857,,,154.12856325695662,,,,,216.99002162353997,228.72079267827132,,156.17236934862143,,,,,,,,,223.74484124177974,,154.78141226663286,,,167.3093581138805,128.28469741494553,,,240.15253927669931,230.36835294360057,242.17852509515205,,168.6757435503408,,,167.60580876599337,130.03686710817917,,,238.30885245809975,228.9354596457525,244.28196365991124,,168.65324849386116,,,,,,,,,223.34893461587833,,152.9724655849703
0.1420849420849421,,,170.06079490677166,140.39887393820757,,,,225.41257468046783,252.37185656277887,,170.24653424655892,,,171.1746247671946,142.7823992710322,,,,226.3299375827582,253.94590379464773,,171.317741447608,,,,,,,,215.09906883953474,223.1581394044408,,154.72423906223207,,,159.7451838508588,,,,,218.60402397375933,235.15199369448518,,160.66856266846804,,,,,,,,,229.04733803343441,,158.98736314264508,,,174.77466437159117,145.1845419721755,,,245.6638002465776,235.8291731125214,251.45776493742846,,176.16636517712652,,,174.91896925927458,146.92790859988122,,,242.99480516854976,233.67437472277726,253.92540613684886,,175.81675296426033,,,,,,,,,228.58861831763178,,156.8413504895777
0.17277992277992277,,,175.57357144952346,,,,,227.84423544426414,260.79154915539357,125.18030540426497,175.4449911491766,,,176.82993272574888,,,,,228.92337936165046,262.5854779692522,127.23639589343588,176.66343588675883,,,,,,,,216.08995158542928,227.1630041097628,,158.03257751824347,,,164.0837622251164,127.5555390670876,,,,220.04211014518614,241.10173060138953,,164.7283016480451,,,161.8828220523569,,,,,,234.0046605981546,,162.80425490780604,,,181.68922865503112,,,,251.20853199624514,241.24166509279354,259.9515133980443,,183.2034938078631,,,181.55878016011442,,,,247.63640565232447,238.27629857391946,262.7230693691953,,182.38552080707214,,,159.40160083251786,,,,,,233.49333132478787,,160.3511968616286
0.2034749034749035,,,180.45690642225335,,,,,230.06299436157505,268.4327954815986,135.10418477973002,180.0748656061168,,,181.8373563080943,,,,,231.29918957493803,270.41911626116,137.13283007444045,181.41610564822443,,,159.90944156960725,,,,,216.98885754310885,230.92042660973573,,161.08749458950314,,,168.00528375345044,138.19363068678172,,,,221.3366283577243,246.5915580320429,,168.4111993036696,,,165.59546989705612,129.83368554083825,,,,,238.61060321062052,,166.26560111539925,,,188.1595188789995,,,,256.8018697679424,246.65758668263868,267.74353026601466,,189.85836751444958,,,187.6296522778209,,,,252.27679980406012,242.820238956694,270.7585324715279,,188.45102510788027,,,162.83860673332399,125.56335439737052,,,,,238.0488214897045,,163.55018838084442
0.23416988416988416,,,184.81766382665157,,,,,232.09919408966314,275.3822653651073,143.5371232092092,184.2320235459856,,,186.2899780296728,,,,,233.49021485624377,277.5382349309718,145.64811720776413,185.69425791884936,,,162.89402844586309,126.563838892196,,,,217.82923485284076,234.45446784241105,,163.92524655500418,,,171.5612615630683,146.96553197300037,,,,222.51557691780874,251.6674857482001,,171.75027526225344,,,168.9704686414882,138.80699123567447,,,225.846137520504,,242.89249551956507,,169.41741143749545,,,194.27073616528142,,,,262.40919046617785,252.09452235386652,274.92526727349826,,196.22913225895903,,,193.2063658848714,,,,256.9444702836661,247.3413075048363,278.1250203124249,,194.10872262535267,,,165.96989958532163,134.46002847099334,,,,,242.28145835047056,,166.46079278103616
0.2648648648648649,,325.3790689676799,188.71452886121068,,191.1539683579148,,,233.9866310197922,281.719712967561,151.17086018803204,187.98972439577358,,327.53893123053,190.28752135067666,,192.8454215215266,,,235.5323036122716,284.01812318432457,153.41828088661012,189.55582909746047,,,165.65394280086662,134.1950969334901,,,,218.60874891171136,237.76459567803943,,166.5400207563415,,,174.78090491820907,,,,,223.59110556659547,256.35577824639296,127.52904144088741,174.7835008191092,,,172.043245732254,146.41162192372127,,,226.47278355412988,,246.88286766814502,,172.29389768891429,,322.9526071857467,200.0963753090278,,198.15516340040418,,267.9593212015976,257.5149135989311,281.54618996979684,,202.34679574833976,,326.64119223371836,198.3973435523062,,198.40138331221834,,261.6380092443487,251.86450741023526,284.90139707463766,,199.46658195093312,,,168.8336342345234,142.01058754861748,,,,,246.22312157481025,,169.11968680408475
0.29555984555984555,,330.39528624077644,192.23054927469695,,195.1587192540394,,242.98297780767948,235.76552099067231,287.49607806813145,158.36632399909527,191.40609970436947,,332.7069927034178,193.88764625518974,,196.92407859816478,,244.74869540294418,237.46745771057198,289.91920226673517,160.8092933077202,193.0805266943268,,,168.20815746541027,140.7710489250275,,,,219.3353875121148,240.87229357982233,,168.97415547582003,,,177.71602632675553,,,,,224.58447075126261,260.69329802279486,133.66137518792326,177.56307642069186,,,174.85423697537848,,,,227.11293059626644,,250.58066920372005,,174.92543983012246,,327.8084476771526,205.69273584542472,,203.33716884395926,201.87016581646853,273.33795610923835,262.8705326843007,287.69743788625823,,208.30080039766372,,331.76172830828773,203.27583081823786,,203.26435772419836,,266.3084852016855,256.41717883434217,291.15285167029646,162.54511018958692,204.60385207114277,,,171.4391113850304,,,,,,249.8791508798615,,171.55309295573235
0.3262548262548262,,335.0785294682758,195.42108107907245,,198.74589552977938,,244.90311265131368,237.4524178076516,292.7734741524803,165.41193566424732,194.54099309893945,,337.5311089407495,197.16732395072825,,200.56763610913046,,246.8228336272417,239.3071182639072,295.31296849880295,168.11517255422604,196.31060661734475,,,170.5819110697097,146.4513887553805,,,,220.01620680639826,243.7865275764539,120.08561708280068,171.23600634402143,,313.03752663386166,180.398544812231,,,,,225.50241948471125,264.7204546800355,139.11965022397413,180.10191652462413,,,177.42123838123715,,,,227.7654957581924,,254.03767726147072,131.42481221886342,177.34774799454163,,332.3670470152266,211.11800894498523,,208.23045370565012,205.52406403019222,278.49923930822666,268.0862444886839,293.3978540643386,166.47165815531332,214.11494824029057,,336.5462424633238,207.91028234065732,,207.74646036384084,,270.89819154653804,260.9354795570948,296.93269656375946,169.7140483382182,209.57736461919293,,,173.8276701909431,,,,,,253.28719133786817,,173.7758233133238
0.35694980694980694,,339.4687005301494,198.3315059004216,,201.9596882897005,,247.08168975816204,239.06635819206338,297.58867537605613,172.59567584142243,197.4251987594937,,342.05246993731885,200.15338536321983,,203.84251842196207,,249.19479538093304,241.08441148694936,300.22095909709066,175.6688726451568,199.2982246878938,,,172.78228828304998,,,,,220.66897980743147,246.52906082062768,125.0075843551106,173.33223341528995,,316.21418050993964,182.84630057119944,,,,,226.355681939326,268.4595826317584,144.12572536087217,182.44543047975097,,,179.77835669500263,,,,228.41881380803486,,257.2627819184335,136.317101421947,179.56673770197278,,336.6295911144608,216.40399775349226,,212.88321214033664,209.04406036734252,283.3546461084668,273.07835666504417,298.704185419867,173.1908083559592,219.79035249448754,,341.03509016938636,212.35043465876075,,211.91022642301272,,275.36265691688953,265.4080918916069,302.2759690202182,176.98030422099464,214.4594485628036,,,176.01988163705494,,,,226.10437212442986,,256.4625272359038,,175.82645091746357
0.38764478764478766,,343.5827825611741,201.00989899615723,,204.86723364941383,,249.72647125228676,240.62337309405098,301.98603510107955,180.25719699726517,200.09238537741857,,346.28899659312447,202.90513400189224,,206.79668564214865,,252.12784638512952,242.80321085482453,304.6957151875307,183.84105109227707,202.06848638192616,,304.6197186279314,174.83946515136267,,,,,221.27552965189358,249.09361508957008,129.2841435012882,175.30340686613096,,319.2087657092551,185.09395016461312,,,,,227.1595276893259,271.9365376304568,148.83427582594518,184.60678051874706,,,181.95673843913838,,,,229.0874948946598,,260.2692130057025,140.78020514459166,181.61994624063126,,340.6488321095848,221.593347848983,,217.33443558852505,212.50806230257686,287.89121890926566,277.8168308332618,303.6502360474968,180.07008074844452,225.32797607776718,,345.25517630587,216.68224585358598,,215.7906798937725,,279.6517621203039,269.77781957124523,307.20894429925517,184.6436832163777,219.27520571522098,,306.2308263073764,178.02688791482984,,,,226.5034027692317,,259.43221222214737,137.5921217758608,177.71527259190245
0.4183397683397683,,347.4627296499161,203.4671397676972,,207.49772518523474,,253.22182437687306,242.13702109987148,305.97893223747235,188.660349861035,202.59198127259378,,350.2836281540882,205.45555692663464,,209.48159706484574,,256.0753943261821,244.4975619450552,308.75041224170525,192.8308887723127,204.66159457133227,,306.77166799204844,176.74930278082363,,,,,221.8642229111993,251.52038387968776,133.13237983696393,177.12727260132704,,322.0176769859381,187.16350988977914,,,,234.5965805514513,227.91569269680681,275.17401161912323,153.33855424840792,186.61637376000886,,,183.95713306386335,,,,229.76228874883435,,263.08218317191364,144.92732736794147,183.5166849300903,,344.4372201593403,226.71606028012687,,221.61853081207926,215.98945578945236,292.0919834546315,282.2770877566978,308.25525677634045,187.35975369227447,230.70379555815924,,349.2298018039216,220.91777120188172,,219.44048859559874,,283.7282104784019,273.9915049936336,311.7848313225826,192.9532177980397,224.03952929556343,,308.46936728211335,179.88426169722283,,,,226.92297581358272,,262.20008289969405,141.65482223652225,179.45769668560783
0.449034749034749,,351.12885360191495,205.7614087915909,,209.90654496809205,,257.93440779311936,243.61207525599144,309.5993187801622,197.7179509047,204.91722632587383,,354.05740381523134,207.82165666274295,,211.9209852108003,,261.33177177453024,246.1593342212361,312.41686162862345,202.3224406686835,207.10339679175343,,308.7964887397241,178.53242365380055,,,,,222.42734739022893,253.80761417462082,136.6615450489565,178.851957372462,,324.67823019801796,189.08399142421146,,191.48398096444356,,235.4112309921539,228.63711470541935,278.1844064404729,157.7329859800476,188.47269295091124,,306.3247398898079,185.80563761943537,,,,230.4538202179525,,265.72529950820876,148.83600636078103,185.2724147381942,,348.02339292985715,231.762484901749,,225.76587151808164,219.54748229975655,,286.4196709735527,312.54177026362197,195.20896339381605,235.86802972787544,,352.98908627433514,225.1262623863558,,222.90943173830007,216.196645049919,287.59028782685857,278.035169240228,316.00174851510303,201.89088403702567,228.7598365603527,,310.58120314364464,181.5893556023401,,,,227.38039929191467,,264.78922257514546,145.48153970331097,181.0779842917095
0.4797297297297297,,354.5891066125629,207.88358448076295,,212.10014053599528,,263.5846679879935,245.07814841001567,312.8749679858456,206.86443342251945,207.12102711409668,,357.60889874937345,210.02671964255052,,214.16552276384036,,267.31569451284287,247.80466455068859,315.7227721636611,211.67412143330407,209.4053864136384,,310.69876769824583,180.19970846329375,,,,,222.9745244819181,255.95905722931883,139.9573730609554,180.46023158038443,,327.16899576316536,190.8529143505247,,193.49168570362156,,236.30361316256767,229.33594211188637,280.9926291340497,162.0962416671144,190.2101531012849,,308.18338578856265,187.5267801420361,,,,231.16765123756585,,268.19884256247286,152.5649404653757,186.91026837965404,,351.4047391420457,236.7178619902833,,229.81586673352052,223.2789972083983,,,316.53740884438287,203.5405551858459,240.81403900114924,,356.5313083341844,229.3084107793252,,226.20919141731267,219.0089824218742,291.19969008891246,281.87611549095294,319.89644370408445,211.01030967753564,233.3944464702846,,312.5837320701148,183.1745512701977,,,,227.86978869506075,,267.21402505577805,149.13631042136987,182.57035247050482
0.5104247104247105,,357.85890731037375,209.8737790272899,,214.1148909345614,,269.3644466321451,246.68351449225702,315.80504173092174,215.6125109079489,209.19995526347188,,360.97382978859565,212.1010075700143,,216.21916877008454,,273.23246820289535,249.5743863349725,318.65015163600833,220.497246407509,211.59724280749703,,312.4864663632045,181.7704539458219,,,,,223.50297094094415,257.99134835517236,143.06850594212867,181.98076347126965,,329.49696100673293,192.50456562993443,,195.3316192461885,,237.31321946038346,229.99236373733834,283.6140710360341,166.52935206837384,191.83243371491173,,309.94266374163595,189.11443857432107,,,,231.9107730688431,,270.5231451529417,156.1708656649018,188.43268857662613,,354.61540874708277,241.55729666593462,222.3054465378535,233.79394663514205,227.24257593336466,,,320.25018483722647,211.99568501566992,245.50972086265972,,359.8918702993554,233.48568070004282,221.33328578028286,229.40692659169412,221.86444568632743,,285.50518996400046,323.46911663282907,219.8670453381166,237.9310319962567,,314.4756641480191,184.6334462397614,,,,228.41246596873023,,269.48736769052664,152.6801527573624,183.9645426092681
0.5411196911196912,,360.96193061470547,211.75041578398879,,215.97131595071286,209.211530920149,274.869976802871,248.77638658529307,318.40229176173,223.7771003827283,211.18227503470422,291.4364635522983,364.1665878963095,214.05253999998496,,218.12530228737344,211.38945250335766,278.7873322075418,251.8705328101467,321.24592093947973,228.67237706909148,213.6974461665045,,314.14187885756917,183.2352258211631,,,,,224.01548915629223,259.92042930567607,146.03463903928912,183.41324244794615,,331.65958672479695,194.04209746103618,,197.03967226138641,,238.4953428823135,230.63578839154675,286.06227418436566,171.11716245737637,193.3611495097137,,311.6091683420235,190.5995393032747,,,,232.69200817122214,223.9144268095066,272.71003015030976,159.6886758903631,189.85009306713977,,357.6686971872616,246.24199101907263,225.97592778761265,237.71016664195884,231.49769987688012,,,323.69505181336956,220.20954963782694,249.9682923301268,,363.0950287327498,237.6541805206847,224.46253603942287,232.5073931996801,224.7902523852757,,,326.75346905880815,228.2299103574426,242.33554236655988,,316.2714321831652,185.99585667883514,,,,229.0076097213034,,271.62083573205507,156.15726212913367,185.26107842111037
