O/F,LOX/LH2,LOX/RP-1,LOX/CH4,LOX/C2H6,LOX/ETHANOL,LOX/MMH,LOX/UDMH,LOX/N2H4,LOX/NH3,LOX/JP10,GOX/LH2,GOX/RP-1,GOX/CH4,GOX/C2H6,GOX/ETHANOL,GOX/MMH,GOX/UDMH,GOX/N2H4,GOX/NH3,GOX/JP10,N2O/LH2,N2O/GH2,N2O/RP-1,N2O/CH4,N2O/C2H6,N2O/ETHANOL,N2O/MMH,N2O/UDMH,N2O/N2H4,N2O/NH3,N2O/JP10,N2O4/LH2,N2O4/GH2,N2O4/RP-1,N2O4/CH4,N2O4/C2H6,N2O4/ETHANOL,N2O4/MMH,N2O4/UDMH,N2O4/N2H4,N2O4/NH3,N2O4/JP10,H2O2/LH2,H2O2/GH2,H2O2/RP-1,H2O2/CH4,H2O2/C2H6,H2O2/ETHANOL,H2O2/MMH,H2O2/UDMH,H2O2/N2H4,H2O2/NH3,H2O2/JP10,F2/LH2,F2/RP-1,F2/CH4,F2/C2H6,F2/ETHANOL,F2/MMH,F2/UDMH,F2/N2H4,F2/NH3,F2/JP10,OF2/RP-1,OF2/CH4,OF2/C2H6,OF2/ETHANOL,OF2/MMH,OF2/UDMH,OF2/N2H4,OF2/NH3,OF2/JP10,IRFNA/LH2,IRFNA/GH2,IRFNA/RP-1,IRFNA/CH4,IRFNA/C2H6,IRFNA/ETHANOL,IRFNA/MMH,IRFNA/UDMH,IRFNA/N2H4,IRFNA/NH3,IRFNA/JP10
0.05,,,,146.79751608100187,,,,230.06583158629857,,,,,,147.686557447827,,,,230.765614581538,,,,,,,132.47846567035614,,,,217.96671457238097,,,,,,,138.11877046153208,,,,222.71847772359882,,,,,,,135.75244333764246,,,,220.35569113562923,,,,,,148.59485657983225,,,,229.49125651301333,,,,,,,,,230.61566477518,,,,,,,134.54413121693358,,,,220.0963261361684,,
0.0806949806949807,,,,,,,,241.7967678772579,,166.7740898923381,,,,,,,,242.86225012790092,,,,,,,141.19512405098874,,,,222.6880202751421,,,,,,,,,,,230.31594488660758,,,,,,,145.74471559779514,,,,226.4816134312659,,,,,,,,,,240.88908202288397,,169.93010986006385,,,,,,,242.63136846668556,,170.41826411300724,,,,,144.03729947407157,,,,226.12905448334266,,
0.11138996138996139,,,,,,,,252.56954334052733,,175.53287330867172,,,,,,,,253.95228171698014,,,,,,,,,,,227.29915225463134,,,,,,,,,,,237.54664627320602,,,,,,,,,,,232.385521596282,,,,,,,,,,251.4518008166231,,180.43777458685543,,,,,,,253.6943235622547,,180.44355153621976,,,,,,,,,231.94940672123664,,
0.1420849420849421,,,146.98387838837112,,,,,262.36305922754684,,182.06734610824367,,,149.53293951480745,,,,,264.0173946812451,,183.20527959616177,,,,,,,,,231.71987196412437,,,,,,,,,,,244.29821778937247,,,,,,,,,,,237.95778537677435,,,,,151.95588239715818,,,,,261.13214817118876,,188.2864730517047,,153.86202516293906,,,,,263.79104601143564,,187.91811023940517,,,,,,,,,237.45886306488208,,
0.17277992277992277,,,,,,,,271.2675647236813,,187.42058669695086,,,,,,,,273.14971911087355,,188.69614301968454,,,,,,,,,235.91095417867012,,,,,,,,,,,250.55384331790862,,174.85953869272728,,,,,,,,,243.16815253189748,,,,,,,,,,270.00313092754243,,195.60440886418107,,,,,,,273.0060634407837,,194.71313778109288,,,,,,,,,242.6115628294156,,
0.2034749034749035,,,,,,,,279.378220959056,,192.14354771062582,,,,,,,,281.45959968826475,,193.54491132059613,,,,,,,,,239.86120261815066,,,,,,144.63130305950446,,,,,256.3445959242305,,179.1884285389559,,,,,,,,,248.029474193228,,,,,,,,,,278.15683651947023,,202.51958857472883,,,,,,,281.4446982820888,,200.95599201199533,,,,,,,,,247.41848166072643,,
0.23416988416988416,,,,,,,,286.78817765542055,,196.34066318955072,,,,,,,,289.0541355212244,,197.85027613852643,,,,,,,,,243.57114697908128,,,,,,154.01640261828175,,,,,261.70537278716273,,182.92949470935534,,,,145.23465907961608,,,235.77856626084542,,252.56236710097974,,,,206.01188391892353,,,,,,285.6695890165358,,209.1155486018443,204.4482949726949,,,,,,289.20144882041456,,206.7689414833026,,,,140.64491823731242,,,,,251.89122954946177,,
0.2648648648648649,,,,,,,,293.5763941819641,,200.09971045488066,,,,,,,,295.997308435106,,201.72085282262998,,,,140.32122178969004,,,,,247.05660769692318,,,,,,,,,,,266.680304591242,,186.18405222739764,,,,153.34551455908363,,,236.36739856168512,,256.78431848483257,,,,212.70545499752347,,,,,,292.62371744367016,,215.48308888835817,210.42391162763775,,,,,,296.35137796759165,,212.2660583166795,,,,148.7002371396625,,,,,256.06272298435647,,
0.29555984555984555,,,,,,253.04756366723075,,299.8036493312551,164.80432791415987,203.49983860272258,,,,,,254.86881856761784,,302.3656951716462,167.31576407048638,205.2155094427385,,,,147.33197324782665,,,,,250.32856564388678,,,,,,,,,,,271.2980270298572,,,,,,,,,236.97195176576201,,260.7212305098078,,,,218.4994766686583,,,,285.89852463622367,275.7998386134569,299.0760956172617,,221.6764880923442,215.81895766078895,,,,,,302.96001262229856,169.00039208308348,217.52557603417767,,,,,,,,,259.95035518849,,
0.3262548262548262,,,,,,254.93665709446216,,305.5186964174093,172.05657342509318,206.58502864043035,,,,,,256.9061843935347,,308.20460693349014,174.83813555122381,208.40383855036154,,,,153.41022358054798,,,,,253.4066317899498,,,,,,,,,,,275.6004274316159,,191.55033312702918,,,,,,,237.58271286153195,,264.3976723198648,,,,224.1112931732557,,,,291.33146263997344,281.29271860138516,305.0726123297406,172.98047874074078,227.74380952581458,220.54165231795358,,,,,,309.0857238533313,176.35770177374562,222.62352272002917,,,,,,,,,263.58660254235565,,
0.35694980694980694,,,,,,257.09872855983076,,310.7698224108537,179.46604745889502,209.4058273616576,,,,,,259.2725495713406,,313.55798302077756,182.63941333727482,211.32027432561247,,,,,,,,,256.30193169569253,,,,,,,,,,,279.60822887486233,,,,,,,,,238.207427972399,,267.83619187148577,,,,229.5969799248699,,,,296.46135360352105,286.58388438511133,310.66463271451295,179.87949876424673,233.7020708996083,225.0821361582466,,,,,277.929157940887,314.7669856899617,183.83278432688283,227.6463059393604,,,,,,,235.76737519108164,,266.9853030386252,,
0.38764478764478766,,,,,,259.77431025613623,,315.5873552798288,187.38728692796045,212.00074754131003,,,,,,262.25013904601644,,318.460974212371,191.1024833200811,214.01708277697423,,,,,,,,,259.02863931103684,,,,,,,,,,,283.3471365543665,,195.78420389169415,,,,,,,238.84796716356314,,271.0658121468796,,,,235.00212873843637,,,,301.26409502986644,291.60425555081156,315.8713520918541,186.95609008573072,239.5346121253995,229.48783266872556,,,,291.95381702467654,282.47862822946826,320.02336962084354,191.74082364502567,232.6153923795338,,,,,,,236.11388284187973,,270.16640808104285,,
0.4183397683397683,,,,,,263.37071495029994,,319.9895680953998,196.12175891306995,,,,,,,266.3321734395722,,322.9415776267354,200.45340076106612,216.36616436060208,,,,,,,,,261.59981843444564,,,,,,,,,244.33441633157207,,286.83967929592217,159.5720948829896,,,,,,,,239.50751273886144,,274.09640252514157,,,,240.3502796532174,,,,305.7175046114503,296.32300720657474,320.7406331875121,194.46885584617917,245.21955287498758,233.83029171454075,,,,296.2111840114624,286.87450241762315,324.908037948734,200.34903343306127,237.55548434978303,,,,,,,236.4873213159402,,273.14779883726163,,
0.449034749034749,,,,,,268.3011342065951,,324.00878795950626,205.56478043537052,,,,,,,271.84875207640636,,327.0118710830513,210.3670155186007,,,,,,,,,,264.02738369017413,,,,,,,,,245.10115405364442,,290.1102088073959,164.0903844976406,,,,,,,,240.18281574405435,,276.9399984277851,,,,245.63814037837054,,,,,300.72678565900986,325.26468999049524,202.5906288992386,250.70233213531472,238.13651294640147,,,,300.23160390352643,291.1015550905642,329.423639566051,209.6252559703868,242.45516117265277,,,,,,,236.90396425669425,,275.94550662827703,,
0.4797297297297297,,,,,,274.27458969420695,,327.65297107867013,215.13807475975022,,,,,,,278.187299449736,,330.6894037648143,220.16772996547036,,,,,,,,,,266.3306836428614,,,,,,,,,245.96278224173105,,293.1715554027615,168.58230408875772,,,,,,,,240.88341066594828,,279.6156205068174,,,,250.85711553579756,,,,,,329.4934911386449,211.23423891683356,255.95705162829825,242.44065615425703,,,,304.005619964208,295.11139212170144,333.5892705941677,219.1226323191452,247.3001198854197,,,,,,,237.35935101964827,,278.58266832548645,,
0.5104247104247105,,,,,,280.4302903780967,256.7565499258689,330.94664515222496,224.32328704738572,,,,,,,284.48742616853355,259.73436307964715,333.9883873806888,229.4326424660963,,,,,,,,,,268.5025908714297,,,,,,,,,246.95119224014482,,296.03427856486616,173.15230933076705,,,,,,,,241.62049988978356,,282.1409392090752,162.57388560707642,,,255.95604721203384,,,,,,333.42287834414134,220.0172763414462,260.9552017793526,246.75459388498106,,,,,298.9106451775577,337.43256984445895,228.35950649425942,252.04705887214106,,,,,,,237.87420520891126,,281.05457499723826,158.90257592575807,
0.5411196911196912,,,,,218.56155279355985,286.3080609950083,258.8402398668558,333.8809780073573,232.91577563199456,,,,,,220.76498161342587,290.43710467518673,262.03148211235373,336.92123370664694,238.0410016220472,,,,,,,,,,270.5647562921153,,,,,,,,,248.12749529019416,,298.71632590367915,177.89559729427685,,,,,,,,242.39961092934007,233.73555543791488,284.5234354453491,166.20034707643234,,,260.9254020701198,,,,,,337.07842528779474,228.5702265741008,265.7087960942522,251.07423512208658,,,,,,340.96974260270275,237.0873457419673,256.66914768287575,,,,,,,238.45351480191607,,283.3904226548517,162.47920756878196,
0.5718146718146718,,,,,220.79289697019195,291.81672627699174,261.6314759003269,336.48636163604465,240.88730718342217,,,,,,223.13193599463753,295.99894694600187,265.207425393274,339.50701440324417,246.0169221678824,,,,,,,,,,272.52098711641196,154.9137224520328,,,,,,,,249.57100310031802,,301.22945510593564,182.9076451602348,,,,,,,,243.23278113444184,234.35681856749434,286.76478324287143,169.79261580105626,,,265.70834862724314,,,,,,340.46376578657777,236.6872055990353,270.2062752573301,255.3745118056659,,,,,,344.2003866047858,245.2434076227107,261.12970578275855,,,,,,,239.11823691023042,,285.5827707446618,166.04290909881988,
0.6025096525096525,,,,,223.0945489051262,296.9507736479627,265.5334466995267,338.7589594712086,248.27715272941268,,,,,,225.6138803474925,301.1649244560133,269.6881968455528,341.73401612151343,253.40557853657484,,,,,,,,,,274.3742373097072,157.76325848127877,,,347.7577323944245,,,,,251.39679380756598,,303.5840304867439,188.24831461369416,,,,,,,,244.13952511778535,234.97729334037157,288.89261639903026,173.3839299934046,,,270.3032604785897,,,,,,343.59837145496357,244.31878363112548,,259.62986508802754,,,,,,347.15645412482195,252.85692648520137,265.4322914828289,,,,,,,239.88806291841541,,287.65881369612924,169.64329274881706,
0.6332046332046333,,,,,225.5461158591288,301.74084198249335,270.59719400855363,340.6946940799879,255.13809559282618,,,,,,228.31318662569916,305.97736806957005,275.23149010971025,343.61990806700226,260.26416375820077,,,,,,,,,,276.14420905126974,160.55225820630204,,,349.40518830117895,,,,,253.73420237170188,,305.7892043635341,193.87920475577977,,,,,,,,245.1362430245175,235.61078754686505,290.8975982200613,177.03008300897088,,,274.6860990046218,,262.74615348917496,,,,346.5021064309219,251.48034638832664,,263.8135322478869,,,,,,349.83763114830464,259.963872944142,269.55577192432617,,,,,,,240.80311636750096,,289.60896527717796,173.34040484258085,
0.6638996138996139,,,,,228.29486310964478,306.18995775675,276.1886847173143,342.3082910581258,261.5217331042404,,,,,,231.43875442485364,310.43904998105216,281.0161516932832,345.17088736352065,266.63724675337284,,,,,,,,,,277.81947647579443,163.30883218481657,,,350.8490424360398,,,,,256.62936749314764,,307.8434538261507,199.64717935754337,,,,,,,,246.26097405521645,236.24919826450716,292.80581472211986,180.77191870256578,,,278.86308189203896,,266.7801850651379,,,,349.18418522477685,258.18878643309495,,267.8945224839513,,,,,,352.2765561927125,266.6194399908085,273.50701431290094,,,,,,,241.90345237987924,,291.44977856812625,177.18179831451675,
0.6945945945945946,,,,,231.57262955035745,310.32672750760156,281.6963190751104,343.60278677847816,267.46617990189003,,,,,,235.329854355895,314.57820087837007,286.5877741052564,346.38190439066267,272.57966910957396,,,,,,,,,,279.41424911510546,166.06101616640964,,,352.12827645226525,,,,,259.9317739478112,,309.7729796160537,205.38269573922784,,,,,,,206.3339053085931,247.53066931621976,236.8961237659405,294.6062114569661,184.6427210721835,,,,,270.8103197433339,267.4944453035258,,,351.65386441399994,264.4982479104423,,271.85565122700416,,,,,,354.4894528554562,272.8588861015056,,,,,,,,243.2564717223187,231.8337411972059,293.1972588333412,181.21664186373047,
0.7252895752895754,,,,,235.75871247500416,314.16745008796136,286.9237873954502,344.5804039583811,273.020381478965,,,,,,240.35452095113897,318.41052023300017,291.83043675987153,347.27951476875086,278.12339057710193,,,331.8698427237881,,,,,,,280.94242410867685,168.8372577830105,,,353.27958468513987,,,,,263.39215376044285,243.88611636606896,311.5551990911787,210.9457062694602,,,,,,,207.50766365453268,248.99859974186435,237.56340938907928,296.3144515880536,188.66958210277716,,,,,274.81161093779167,272.57357267666487,,,353.93716408054325,270.44123111721893,,275.677649567393,,,,,,356.4697529652123,278.7253151995784,,,336.92738584090785,,,,,244.91734198397742,232.30575105998844,294.83936348219174,185.4460339864515,
0.755984555984556,,,,,241.0540480358904,317.72587084772124,291.8361836407153,345.24332825767107,278.21119630192857,,335.9905648333494,,,,246.34320599958394,321.9492614341715,296.7485632492361,347.8386993610703,283.30317067087134,,,332.193250054929,,,,,,,282.39086064614276,171.6550869823035,,,354.3453642530983,,,,,266.8185976082257,244.77473127051212,313.224449486425,216.2660166271745,,,,,,,208.64638102044378,250.69955518530168,238.25623213581835,297.93651961010283,192.8317084653838,,,,,278.77106649500763,277.46393651834364,,,356.048871270638,276.0465081567959,,279.35424036242324,,,,,,358.26041292893524,284.24820936901057,,,338.0402140153961,,,,,246.92154761040243,232.82090183488242,296.38162761310207,189.84190643200944,
0.7866795366795367,335.24283879760895,,,,246.98857088461878,321.00368379463015,296.4382421647244,345.58501615208934,283.06907799226775,,339.9277370207781,,,,252.56523785132808,325.1857263433652,301.3483099826881,348.0999733229833,288.1579087507287,,,332.39954941736016,,,,,,,283.7725955257411,174.5472640213841,,,355.3477103451375,,,,209.80308725056253,270.1190692031659,245.84339060903187,314.76614232269657,221.31254969176288,,,,,,,209.75460515592454,252.64177240543714,238.97318480676563,299.47788236326693,197.08313381838622,,,,,282.6585071786555,282.1329018933616,,,357.9919503162118,281.3387920313612,,282.8913004813319,,,,,,359.85886370995735,289.4522682381517,,,339.0263699014503,,,,,249.24159363870245,233.38400694506038,297.84753796886514,194.31581698099595,
